section,ml_method,train_accuracy,test_accuracy,auc,sensitivity_avg,pdo_sensitivity,minor_sensitivity,moderate_sensitivity,serious_sensitivity,severe_sensitivity,major_sensitivity,fatality_sensitivity,specificity_avg,pdo_specificity,minor_specificity,moderate_specificity,serious_specificity,severe_specificity,major_specificity,fatality_specificity
Without WL and DVTOTAL,RF (mtry = 10),0.8121251,0.8086,0.9104,0.7949457142857143,0.63295,0.60377,0.7395,0.8553,0.9349,0.9811,0.8171,0.9691028571428572,0.91969,0.89863,0.9802,0.9894,1,1,0.9958
Without WL and DVTOTAL,kNN (k=5),0.6575995,0.6741,0.8071,0.6447171428571429,0.54658,0.42754,0.5086,0.5988,0.8467,0.9404,0.6444,0.9487728571428571,0.87108,0.87313,0.9286,0.9765,1,1,0.9921
Without WL and DVTOTAL,"SVM (sigma=9.92e-05, C=0.25)",0.4409093,0.4361,0.5004,0.08696957142857142,0.166667,0.44212,0,0,0,0,0,0.8175629999999999,0.694581,0.27778,0.8819,0.93494,0.97952,0.98795,0.96627
Without WL and DVTOTAL,POLR (link=cauchit),0.2006716,0.1937,0.6228,0.13673857142857143,0,0.17018,0.16334,0.12621,0.09946,0.39798,0,0.8665842857142858,0.8447,0.86549,0.86493,0.85799,0.85216,0.91922,0.8616
With WL,RF (mtry = 8),0.8628591,0.8663,0.954,0.8575514285714286,0.6868,0.63636,0.8582,0.9267,0.9782,0.9973,0.9193,0.978202857142857,0.9378,0.91382,0.9958,1,1,1,1
With WL,kNN (k=5),0.682829,0.6933,0.833,0.6611728571428571,0.53005,0.41096,0.5162,0.6356,0.8953,0.9553,0.6848,0.9517328571428572,0.87368,0.87313,0.93532,0.9805,1,1,0.9995
With WL,"SVM (sigma=8.31e-05, C=1)",0.4420116,0.4389,0.512,0.11654571428571428,0.37209,0.44373,0,0,0,0,0,0.8664184285714286,0.6824,0.62222,0.887273,0.94075,0.98186,0.991536,0.95889
With WL,POLR (link=cauchit),0.2297202,0.2098,0.6538,0.3687658571428572,0.428571,0.19298,0.13958,0.16179,0.19309,0.46535,1,0.8689272857142857,0.845458,0.87513,0.85845,0.86795,0.87172,0.9012,0.862583
With DVTOTAL,RF (mtry = 8),0.8576305,0.8647,0.9533,0.8567871428571429,0.6865,0.66531,0.8318,0.9141,0.9836,0.9945,0.9217,0.9780371428571428,0.9395,0.91236,0.9958,0.9986,1,1,1
With DVTOTAL,kNN (k=5),0.6827022,0.6925,0.8303,0.6618671428571428,0.54286,0.41611,0.5118,0.6353,0.893,0.9578,0.6762,0.95168,0.87326,0.8738,0.9327,0.982,1,1,1
With DVTOTAL,"SVM (sigma=7.92e-05, C=1)",0.4411958,0.4341,0.5199,0.11624142857142858,0.375,0.43869,0,0,0,0,0,0.8527964285714286,0.68176,0.52778,0.886999,0.94075,0.98186,0.991536,0.95889
With DVTOTAL,POLR (link=cauchit),0.2425162,0.2318,0.6889,0.24151857142857144,0.42424,0.20893,0.16327,0.1721,0.26786,0.45423,0,0.8727771428571429,0.84823,0.88147,0.86474,0.87037,0.8863,0.89673,0.8616
